#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
54 180 105.572 180 152.376
54.1 10.5446 103.087 2.53514 154.86
54.2 21.1984 95.8762 4.71666 162.071
54.3 32.0868 84.6451 6.28198 173.302
54.4 43.3748 70.4931 7.10241 187.454
54.5 55.3141 54.8054 7.17164 203.142
54.6 68.3486 39.1177 6.56655 218.83
54.7 83.3868 24.9656 5.40803 232.982
54.8 102.6 13.7345 3.83396 244.213
54.9 131.766 6.52368 1.98512 251.424
55 6.82121e-13 4.03899 180 253.908
55.1 48.2344 6.52368 178.015 251.424
55.2 77.4001 13.7345 176.166 244.213
55.3 96.6132 24.9656 174.592 232.982
55.4 111.651 39.1177 173.433 218.83
55.5 124.686 54.8054 172.828 203.142
55.6 136.625 70.4931 172.898 187.454
55.7 147.913 84.6451 173.718 173.302
55.8 158.802 95.8762 175.283 162.071
55.9 169.455 103.087 177.465 154.86
56 180 105.572 180 152.376
56.1 10.5446 103.087 2.53514 154.86
56.2 21.1984 95.8762 4.71666 162.071
56.3 32.0868 84.6451 6.28198 173.302
56.4 43.3748 70.4931 7.10241 187.454
56.5 55.3141 54.8054 7.17164 203.142
56.6 68.3486 39.1177 6.56655 218.83
56.7 83.3868 24.9656 5.40803 232.982
56.8 102.6 13.7345 3.83396 244.213
56.9 131.766 6.52368 1.98512 251.424
57 180 4.03899 1.12726e-13 253.908
57.1 48.2344 6.52368 178.015 251.424
57.2 77.4001 13.7345 176.166 244.213
57.3 96.6132 24.9656 174.592 232.982
57.4 111.651 39.1177 173.433 218.83
57.5 124.686 54.8054 172.828 203.142
57.6 136.625 70.4931 172.898 187.454
57.7 147.913 84.6451 173.718 173.302
57.8 158.802 95.8762 175.283 162.071
57.9 169.455 103.087 177.465 154.86
58 8.29631e-17 105.572 2.04716e-17 152.376
58.1 10.5446 103.087 2.53514 154.86
58.2 21.1984 95.8762 4.71666 162.071
58.3 32.0868 84.6451 6.28198 173.302
58.4 43.3748 70.4931 7.10241 187.454
58.5 55.3141 54.8054 7.17164 203.142
58.6 68.3486 39.1177 6.56655 218.83
58.7 83.3868 24.9656 5.40803 232.982
58.8 102.6 13.7345 3.83396 244.213
58.9 131.766 6.52368 1.98512 251.424
59 180 4.03899 6.88813e-14 253.908
59.1 48.2344 6.52368 178.015 251.424
59.2 77.4001 13.7345 176.166 244.213
59.3 96.6132 24.9656 174.592 232.982
59.4 111.651 39.1177 173.433 218.83
59.5 124.686 54.8054 172.828 203.142
59.6 136.625 70.4931 172.898 187.454
59.7 147.913 84.6451 173.718 173.302
59.8 158.802 95.8762 175.283 162.071
59.9 169.455 103.087 177.465 154.86
60 180 105.572 180 152.376
60.1 10.5446 103.087 2.53514 154.86
60.2 21.1984 95.8762 4.71666 162.071
60.3 32.0868 84.6451 6.28198 173.302
60.4 43.3748 70.4931 7.10241 187.454
60.5 55.3141 54.8054 7.17164 203.142
60.6 68.3486 39.1177 6.56655 218.83
60.7 83.3868 24.9656 5.40803 232.982
60.8 102.6 13.7345 3.83396 244.213
60.9 131.766 6.52368 1.98512 251.424
61 180 4.03899 2.5037e-14 253.908
61.1 48.2344 6.52368 178.015 251.424
61.2 77.4001 13.7345 176.166 244.213
61.3 96.6132 24.9656 174.592 232.982
61.4 111.651 39.1177 173.433 218.83
61.5 124.686 54.8054 172.828 203.142
61.6 136.625 70.4931 172.898 187.454
61.7 147.913 84.6451 173.718 173.302
61.8 158.802 95.8762 175.283 162.071
61.9 169.455 103.087 177.465 154.86
62 180 105.572 180 152.376
62.1 10.5446 103.087 2.53514 154.86
62.2 21.1984 95.8762 4.71666 162.071
62.3 32.0868 84.6451 6.28198 173.302
62.4 43.3748 70.4931 7.10241 187.454
62.5 55.3141 54.8054 7.17164 203.142
62.6 68.3486 39.1177 6.56655 218.83
62.7 83.3868 24.9656 5.40803 232.982
62.8 102.6 13.7345 3.83396 244.213
62.9 131.766 6.52368 1.98512 251.424
63 5.11591e-13 4.03899 180 253.908
63.1 48.2344 6.52368 178.015 251.424
63.2 77.4001 13.7345 176.166 244.213
63.3 96.6132 24.9656 174.592 232.982
63.4 111.651 39.1177 173.433 218.83
63.5 124.686 54.8054 172.828 203.142
63.6 136.625 70.4931 172.898 187.454
63.7 147.913 84.6451 173.718 173.302
63.8 158.802 95.8762 175.283 162.071
