#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
60.7 32.4737 32.9975 6.79002 203.332
60.8 29.3329 20.9676 4.7863 215.361
60.9 18.922 13.2439 2.46975 223.085
61 2.63573e-13 10.5825 3.11139e-14 225.746
61.1 161.078 13.2439 177.53 223.085
61.2 150.667 20.9676 175.214 215.361
61.3 147.526 32.9975 173.21 203.332
61.4 148.548 48.156 171.69 188.173
61.5 151.857 64.9594 170.832 171.37
61.6 156.469 81.7628 170.815 154.566
61.7 161.849 96.9213 171.777 139.408
61.8 167.687 108.951 173.757 127.378
61.9 173.785 116.675 176.618 119.654
62 180 119.336 180 116.993
62.1 6.21529 116.675 3.38246 119.654
62.2 12.3129 108.951 6.24315 127.378
62.3 18.1511 96.9213 8.22318 139.408
62.4 23.5315 81.7628 9.1848 154.566
62.5 28.1429 64.9594 9.16756 171.37
62.6 31.4515 48.156 8.31044 188.173
62.7 32.4737 32.9975 6.79002 203.332
62.8 29.3329 20.9676 4.7863 215.361
62.9 18.922 13.2439 2.46975 223.085
63 180 10.5825 180 225.746
63.1 161.078 13.2439 177.53 223.085
63.2 150.667 20.9676 175.214 215.361
63.3 147.526 32.9975 173.21 203.332
63.4 148.548 48.156 171.69 188.173
63.5 151.857 64.9594 170.832 171.37
63.6 156.469 81.7628 170.815 154.566
63.7 161.849 96.9213 171.777 139.408
63.8 167.687 108.951 173.757 127.378
63.9 173.785 116.675 176.618 119.654
64 180 119.336 180 116.993
64.1 6.21529 116.675 3.38246 119.654
64.2 12.3129 108.951 6.24315 127.378
