#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
60.8 34.3824 19.5343 5.25463 221.295
60.9 23.3902 10.9416 2.70699 229.887
61 3.37736e-13 7.98079 3.40843e-14 232.848
61.1 156.61 10.9416 177.293 229.887
61.2 145.618 19.5343 174.745 221.295
61.3 143.27 32.9176 172.525 207.911
61.4 145.191 49.7817 170.816 191.047
61.5 149.274 68.4756 169.818 172.353
61.6 154.534 87.1695 169.738 153.66
61.7 160.469 104.034 170.753 136.795
61.8 166.799 117.417 172.937 123.412
61.9 173.35 126.01 176.157 114.819
62 180 128.97 180 111.859
62.1 6.65002 126.01 3.84349 114.819
62.2 13.2006 117.417 7.06263 123.412
62.3 19.5305 104.034 9.24656 136.795
62.4 25.4659 87.1695 10.2619 153.66
62.5 30.7259 68.4756 10.1822 172.353
62.6 34.8091 49.7817 9.18427 191.047
62.7 36.7302 32.9176 7.47489 207.911
62.8 34.3824 19.5343 5.25463 221.295
62.9 23.3902 10.9416 2.70699 229.887
63 180 7.98079 180 232.848
63.1 156.61 10.9416 177.293 229.887
63.2 145.618 19.5343 174.745 221.295
63.3 143.27 32.9176 172.525 207.911
63.4 145.191 49.7817 170.816 191.047
63.5 149.274 68.4756 169.818 172.353
63.6 154.534 87.1695 169.738 153.66
63.7 160.469 104.034 170.753 136.795
63.8 166.799 117.417 172.937 123.412
63.9 173.35 126.01 176.157 114.819
64 180 128.97 180 111.859
64.1 6.65002 126.01 3.84349 114.819
