#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
42.1 6.77865 128.995 3.99126 113.334
42.2 13.4637 120.132 7.32361 122.198
42.3 19.9403 106.326 9.56974 136.003
42.4 26.0431 88.9306 10.5991 153.398
42.5 31.5023 69.6473 10.4974 172.682
42.6 35.8309 50.364 9.45407 191.965
42.7 38.0555 32.9684 7.68536 209.361
42.8 36.0258 19.1631 5.39809 223.166
42.9 24.9673 10.2995 2.77953 232.029
43 8.2311e-13 7.24538 7.87678e-14 235.084
43.1 155.033 10.2995 177.22 232.029
43.2 143.974 19.1631 174.602 223.166
43.3 141.945 32.9684 172.315 209.361
43.4 144.169 50.364 170.546 191.965
43.5 148.498 69.6473 169.503 172.682
43.6 153.957 88.9306 169.401 153.398
43.7 160.06 106.326 170.43 136.003
43.8 166.536 120.132 172.676 122.198
43.9 173.221 128.995 176.009 113.334
44 180 132.049 180 110.28
44.1 6.77865 128.995 3.99126 113.334
44.2 13.4637 120.132 7.32361 122.198
44.3 19.9403 106.326 9.56974 136.003
44.4 26.0431 88.9306 10.5991 153.398
44.5 31.5023 69.6473 10.4974 172.682
44.6 35.8309 50.364 9.45407 191.965
44.7 38.0555 32.9684 7.68536 209.361
44.8 36.0258 19.1631 5.39809 223.166
44.9 24.9673 10.2995 2.77953 232.029
45 1.82772e-13 7.24538 1.74904e-14 235.084
45.1 155.033 10.2995 177.22 232.029
45.2 143.974 19.1631 174.602 223.166
45.3 141.945 32.9684 172.315 209.361
45.4 144.169 50.364 170.546 191.965
45.5 148.498 69.6473 169.503 172.682
45.6 153.957 88.9306 169.401 153.398
45.7 160.06 106.326 170.43 136.003
45.8 166.536 120.132 172.676 122.198
45.9 173.221 128.995 176.009 113.334
46 180 132.049 180 110.28
46.1 6.77865 128.995 3.99126 113.334
46.2 13.4637 120.132 7.32361 122.198
46.3 19.9403 106.326 9.56974 136.003
46.4 26.0431 88.9306 10.5991 153.398
46.5 31.5023 69.6473 10.4974 172.682
46.6 35.8309 50.364 9.45407 191.965
46.7 38.0555 32.9684 7.68536 209.361
46.8 36.0258 19.1631 5.39809 223.166
46.9 24.9673 10.2995 2.77953 232.029
47 180 7.24538 180 235.084
47.1 155.033 10.2995 177.22 232.029
47.2 143.974 19.1631 174.602 223.166
47.3 141.945 32.9684 172.315 209.361
47.4 144.169 50.364 170.546 191.965
47.5 148.498 69.6473 169.503 172.682
47.6 153.957 88.9306 169.401 153.398
47.7 160.06 106.326 170.43 136.003
47.8 166.536 120.132 172.676 122.198
47.9 173.221 128.995 176.009 113.334
48 180 132.049 180 110.28
48.1 6.77865 128.995 3.99126 113.334
48.2 13.4637 120.132 7.32361 122.198
48.3 19.9403 106.326 9.56974 136.003
48.4 26.0431 88.9306 10.5991 153.398
48.5 31.5023 69.6473 10.4974 172.682
48.6 35.8309 50.364 9.45407 191.965
48.7 38.0555 32.9684 7.68536 209.361
48.8 36.0258 19.1631 5.39809 223.166
48.9 24.9673 10.2995 2.77953 232.029
49 1.55489e-12 7.24538 1.48796e-13 235.084
49.1 155.033 10.2995 177.22 232.029
49.2 143.974 19.1631 174.602 223.166
49.3 141.945 32.9684 172.315 209.361
49.4 144.169 50.364 170.546 191.965
49.5 148.498 69.6473 169.503 172.682
49.6 153.957 88.9306 169.401 153.398
49.7 160.06 106.326 170.43 136.003
49.8 166.536 120.132 172.676 122.198
49.9 173.221 128.995 176.009 113.334
50 2.12396e-14 132.049 1.28511e-14 110.28
50.1 6.77865 128.995 3.99126 113.334
50.2 13.4637 120.132 7.32361 122.198
50.3 19.9403 106.326 9.56974 136.003
50.4 26.0431 88.9306 10.5991 153.398
50.5 31.5023 69.6473 10.4974 172.682
50.6 35.8309 50.364 9.45407 191.965
50.7 38.0555 32.9684 7.68536 209.361
50.8 36.0258 19.1631 5.39809 223.166
50.9 24.9673 10.2995 2.77953 232.029
51 9.14554e-13 7.24538 8.75186e-14 235.084
51.1 155.033 10.2995 177.22 232.029
51.2 143.974 19.1631 174.602 223.166
51.3 141.945 32.9684 172.315 209.361
51.4 144.169 50.364 170.546 191.965
51.5 148.498 69.6473 169.503 172.682
51.6 153.957 88.9306 169.401 153.398
51.7 160.06 106.326 170.43 136.003
51.8 166.536 120.132 172.676 122.198
51.9 173.221 128.995 176.009 113.334
52 1.69596e-13 132.049 1.02615e-13 110.28
52.1 6.77865 128.995 3.99126 113.334
52.2 13.4637 120.132 7.32361 122.198
52.3 19.9403 106.326 9.56974 136.003
52.4 26.0431 88.9306 10.5991 153.398
52.5 31.5023 69.6473 10.4974 172.682
52.6 35.8309 50.364 9.45407 191.965
52.7 38.0555 32.9684 7.68536 209.361
52.8 36.0258 19.1631 5.39809 223.166
52.9 24.9673 10.2995 2.77953 232.029
53 2.74216e-13 7.24538 2.62412e-14 235.084
53.1 155.033 10.2995 177.22 232.029
53.2 143.974 19.1631 174.602 223.166
53.3 141.945 32.9684 172.315 209.361
53.4 144.169 50.364 170.546 191.965
53.5 148.498 69.6473 169.503 172.682
53.6 153.957 88.9306 169.401 153.398
53.7 160.06 106.326 170.43 136.003
53.8 166.536 120.132 172.676 122.198
53.9 173.221 128.995 176.009 113.334
54 180 132.049 180 110.28
54.1 6.77865 128.995 3.99126 113.334
54.2 13.4637 120.132 7.32361 122.198
54.3 19.9403 106.326 9.56974 136.003
54.4 26.0431 88.9306 10.5991 153.398
54.5 31.5023 69.6473 10.4974 172.682
54.6 35.8309 50.364 9.45407 191.965
54.7 38.0555 32.9684 7.68536 209.361
54.8 36.0258 19.1631 5.39809 223.166
54.9 24.9673 10.2995 2.77953 232.029
55 180 7.24538 180 235.084
55.1 155.033 10.2995 177.22 232.029
55.2 143.974 19.1631 174.602 223.166
55.3 141.945 32.9684 172.315 209.361
55.4 144.169 50.364 170.546 191.965
55.5 148.498 69.6473 169.503 172.682
55.6 153.957 88.9306 169.401 153.398
55.7 160.06 106.326 170.43 136.003
55.8 166.536 120.132 172.676 122.198
55.9 173.221 128.995 176.009 113.334
56 180 132.049 180 110.28
56.1 6.77865 128.995 3.99126 113.334
56.2 13.4637 120.132 7.32361 122.198
56.3 19.9403 106.326 9.56974 136.003
56.4 26.0431 88.9306 10.5991 153.398
56.5 31.5023 69.6473 10.4974 172.682
56.6 35.8309 50.364 9.45407 191.965
56.7 38.0555 32.9684 7.68536 209.361
56.8 36.0258 19.1631 5.39809 223.166
56.9 24.9673 10.2995 2.77953 232.029
57 1.64634e-12 7.24538 1.57547e-13 235.084
57.1 155.033 10.2995 177.22 232.029
57.2 143.974 19.1631 174.602 223.166
57.3 141.945 32.9684 172.315 209.361
57.4 144.169 50.364 170.546 191.965
57.5 148.498 69.6473 169.503 172.682
57.6 153.957 88.9306 169.401 153.398
57.7 160.06 106.326 170.43 136.003
57.8 166.536 120.132 172.676 122.198
57.9 173.221 128.995 176.009 113.334
58 5.35411e-17 132.049 3.23952e-17 110.28
58.1 6.77865 128.995 3.99126 113.334
58.2 13.4637 120.132 7.32361 122.198
58.3 19.9403 106.326 9.56974 136.003
58.4 26.0431 88.9306 10.5991 153.398
58.5 31.5023 69.6473 10.4974 172.682
58.6 35.8309 50.364 9.45407 191.965
58.7 38.0555 32.9684 7.68536 209.361
58.8 36.0258 19.1631 5.39809 223.166
58.9 24.9673 10.2995 2.77953 232.029
59 1.006e-12 7.24538 9.62693e-14 235.084
59.1 155.033 10.2995 177.22 232.029
59.2 143.974 19.1631 174.602 223.166
59.3 141.945 32.9684 172.315 209.361
59.4 144.169 50.364 170.546 191.965
59.5 148.498 69.6473 169.503 172.682
59.6 153.957 88.9306 169.401 153.398
59.7 160.06 106.326 170.43 136.003
59.8 166.536 120.132 172.676 122.198
59.9 173.221 128.995 176.009 113.334
60 180 132.049 180 110.28
60.1 6.77865 128.995 3.99126 113.334
60.2 13.4637 120.132 7.32361 122.198
60.3 19.9403 106.326 9.56974 136.003
60.4 26.0431 88.9306 10.5991 153.398
60.5 31.5023 69.6473 10.4974 172.682
60.6 35.8309 50.364 9.45407 191.965
60.7 38.0555 32.9684 7.68536 209.361
60.8 36.0258 19.1631 5.39809 223.166
