Energy CM (MeV)	Angle CM (deg)
1.1538	121.1418
2.1947	139.0048
1.8491	86.9417
1.9802	164.4099
0.9486	147.7046
1.2027	117.0925
5.4662	32.9242
0.9611	145.2091
1363.8717	156.4069
1.8049	147.5196
0.9809	141.6755
0.9614	145.1625
2.1591	71.2817
20.5826	22.1935
0.8867	166.9416
3.9962	74.8576
1.4249	128.4915
3337.0833	13.3111
0.9704	143.5045
7.4124	106.2801
0.9423	149.0625
109.0685	10.2601
0.9509	147.2390
0.5628	160.0434
1.4972	27.5142
0.9330	151.1854
0.9028	159.8904
0.8916	164.4134
6.5329	25.9751
3.7367	57.8865
53.6241	166.3798
0.1155	150.4291
326.1702	5.9071
1.0138	136.6107
0.3043	98.5133
0.9901	140.1756
1.4253	36.0920
0.0370	123.8492
0.9100	157.4520
0.9672	144.0770
1.1685	119.8665
0.9059	158.8045
1.0050	137.8811
0.4896	120.0332
0.9295	152.0309
2.3090	130.8433
0.8981	161.6183
0.8865	167.0692
0.9824	141.4252
172.1821	38.8285
0.4837	107.4734
0.8940	163.3342
572785.4495	1.6849
1.2844	111.2757
0.9014	160.3751
0.0557	76.4577
0.9574	145.9356
0.3604	156.6582
2.7319	79.6681
0.9000	160.9157
0.3072	77.4830
1.1122	125.0160
4.3767	40.5225
0.0860	143.8869
367.5043	10.9642
0.0193	129.3904
3.6252	22.3602
0.1728	65.3613
1.5869	95.9166
511.1006	4.8006
0.6276	154.4821
0.9209	154.2606
0.9777	142.2220
0.3374	68.9993
45.6612	144.2572
0.1048	150.0493
5.0308	49.3002
1.3824	105.4407
0.4335	169.1600
0.2165	161.3611
0.9166	155.4820
2.6696	60.5029
0.0419	144.9569
0.9254	153.0722
1.0623	130.3778
22.8639	170.0887
2.3370	75.4630
3.4683	134.2491
0.4880	138.9515
0.9002	160.8275
1.2457	113.9067
0.9133	156.4286
0.9797	141.8742
0.9051	159.0764
1.0244	135.1415
2.9296	52.9187
1.0065	137.6646
1.0065	137.6646
2.3849	156.2427
211.7302	163.8861
0.9035	159.6136
1.4693	101.0329
19.5451	153.0581
3.3155	61.0048
0.5072	148.4398
0.2371	140.9983
4.3488	19.1707
0.6110	39.8250
1.0393	133.1805
0.9159	155.6840
9.6611	159.4449
4031.1764	1.1036
0.9160	155.6366
0.9435	148.7824
3.8616	130.6344
0.9702	143.5398
0.9062	158.6843
0.2756	135.5977
0.9578	145.8570
1.1857	118.4478
3.3351	65.3294
10.1742	155.5620
9.7247	149.2417
14.2797	28.6612
30.1959	19.5948
2.8110	135.8080
0.9686	143.8210
1.5731	96.4707
0.9054	158.9535
1.0226	135.3782
1.3857	105.2621
0.9665	144.1989
1.0299	134.3944
0.2322	57.3378
0.0653	109.5555
4.0609	98.2872
3.1953	110.6305
110.7984	8.3457
1.2986	110.3636
97.1034	41.5137
0.7797	143.7502
119.6169	143.8144
0.9219	153.9889
0.9242	153.3945
0.9642	144.6379
2.5941	55.9673
1.1655	120.1241
0.0655	81.2339
1.4430	102.3029
0.9304	151.8222
0.0578	107.6571
0.9625	144.9555
0.9612	145.2028
0.9124	156.6993
0.9124	156.6993
1.2695	112.2615
0.9044	159.2947
0.7450	105.1557
0.9072	158.3597
0.9205	154.3896
0.0130	115.0875
9.8340	68.1969
0.7805	79.8055
5.2854	31.8673
0.9724	143.1478
2.0910	159.8995
27086.6103	2.2005
0.9257	152.9895
1116.5913	1.6131
0.8877	166.3889
1.0366	133.5224
1.0760	128.8111
0.9766	142.4197
1.8979	85.5438
119.8753	155.1563
84.7348	38.1706
1.7523	89.9401
0.9511	147.1837
7.1717	40.8896
8.8898	36.5685
0.9309	151.6984
1.1584	120.7348
1.6143	87.0550
0.9976	139.0041
35.2279	10.4060
8.1289	30.2106
0.7606	164.4729
907262.1361	0.4560
2055.4133	19.5915
12.7646	75.9302
4.9383	109.1132
6.8101	42.0114
0.9208	154.2829
1.0211	135.5898
1.1471	121.7381
0.0441	146.9459
2.0454	57.9749
202.9423	19.1821
140.8252	104.3777
2.8325	67.5392
108062.2489	1.3452
108062.2489	1.3452
4.1345	160.1670
0.9886	140.4080
0.2569	81.2818
1.0166	136.2057
0.9695	143.6675
403.7853	3.7650
0.0576	150.3783
13.3738	52.2854
1.4166	103.6285
0.9184	154.9461
31.5057	9.5119
2233.8618	4.7558
0.9088	157.8444
421.1174	30.4153
857.1215	72.8616
205.8836	7.9533
0.0647	157.0770
0.9555	146.2998
1.5995	95.4126
0.8858	167.4422
31.4289	33.3170
5.1450	160.2401
516.5737	4.0936
14.5888	98.4890
5.9135	157.8477
2.6357	71.7655
8.0014	129.6040
41.1585	16.7585
1.0659	129.9612
4.1440	47.0831
1.0249	47.8271
1.0249	47.8271
2.1867	151.7881
12.5962	169.6960
16.7211	42.9508
0.3961	145.8634
67.5631	53.5179
1.1540	152.2086
1.4487	102.0223
0.9448	148.5056
0.9479	147.8490
0.9226	152.0740
0.8970	162.0705
2.4262	54.9476
0.9293	152.0895
70.8082	116.1870
1.0132	136.6875
0.0887	149.3758
151.2407	139.4104
0.8545	52.8285
0.9459	148.2797
0.9086	157.9156
997.8577	24.1997
1.4290	103.0013
694.0784	6.4840
0.0387	139.3660
0.5813	45.8885
0.0500	132.0040
0.2290	148.3577
0.9037	26.7187
4.3410	75.5569
3.7661	100.5480
0.0615	140.2731
95453.5714	2.7215
0.9113	157.0492
0.3317	60.8949
1533.4854	6.3162
12.4253	10.8448
0.2215	128.1570
8.5137	148.5980
30.9219	111.8756
3.4214	167.4658
0.9893	140.3063
0.5135	145.5040
1.0834	128.0090
0.9277	152.4749
4149.2394	4.9552
1.0405	133.0320
0.2487	152.5857
6.1504	44.2680
13.8865	163.5402
15.6942	27.3121
0.5575	156.1576
1.0781	128.5830
0.9385	149.8998
1.5121	99.0702
1.0217	135.5089
27.0117	20.7308
3.2532	74.8515
0.9050	159.1139
0.0310	146.0882
44.9349	16.0330
0.2982	142.1718
1.6902	92.0407
1.8355	73.6076
0.9184	154.9661
60.1739	23.5467
0.9893	140.3032
0.1854	132.0270
174.2837	20.8620
0.0714	131.6797
2.4976	72.1623
121303.4848	1.3616
0.8861	167.2902
1.1064	134.3293
1.0051	137.8723
0.0436	105.0607
1028.0345	42.8794
0.9888	140.3726
1.0399	133.1078
0.9577	145.8681
1.1522	107.6670
1.2563	113.1611
0.9192	154.7435
1.5545	97.2402
16.3174	126.8882
0.9756	142.5887
0.1267	121.6357
394.2185	5.3672
1.0385	133.2780
0.9266	152.7544
1.1455	121.8772
3.0278	58.4726
2.1425	79.4538
0.0534	87.5193
0.5289	151.8273
7.6203	162.4830
136.6446	138.5264
1.0770	128.7077
1.5403	71.9117
0.9619	145.0724
1.0948	126.7891
0.9682	143.8976
1.2743	111.9394
3.1500	63.6193
0.9662	144.2592
0.9617	145.0962
0.9617	145.0962
0.9123	156.7430
0.6138	38.1252
53.0723	14.7432
1.5440	77.3752
0.2504	125.3436
1.0199	135.7492
1.5348	163.3553
290.9479	15.1385
0.9565	146.1089
0.0286	127.6175
1.2246	115.4268
522.0579	2.4843
4.6762	128.3947
4.2020	70.0576
