bin_612    29.6056 49.0211 191
bin_613    31.7018 52.3082 192
bin_614    23.0544 49.0422 189
bin_615    31.7018 59.0781 218
bin_616    104.075 35.4805 449
bin_617    97.3054 35.4805 407
bin_618    29.6056 55.7912 217
bin_619    -59.0786 45.2418 1024
bin_620    24.9318 52.3082 190
bin_621    112.942 38.7675 488
bin_622    106.172 38.7675 450
bin_623    99.4016 38.7675 408
bin_624    92.6316 38.7675 362
bin_625    23.118 55.9261 215
bin_626    90.5355 42.2511 365
bin_627    97.3055 42.2511 411
bin_628    104.076 42.2511 453
bin_629    110.846 42.2511 490
bin_630    24.9318 59.0781 216
bin_631    29.4971 66.529 244
bin_632    92.6318 45.5381 366
bin_633    99.4018 45.5381 412
bin_634    106.172 45.5381 454
bin_635    90.5355 49.0211 369
bin_636    97.3055 49.0211 415
bin_637    104.076 49.0211 457
bin_638    -1.63158 70.2257 1285
bin_639    11.3923 120.007 496
bin_640    9.29604 116.72 495
bin_641    11.3923 113.237 470
bin_642    4.62223 120.007 492
bin_643    2.52602 116.72 491
bin_644    9.29604 109.95 469
bin_645    4.62223 113.237 466
bin_646    2.52602 109.95 465
bin_647    -1.63158 110.846 1897
bin_648    4.62158 106.467 428
bin_649    11.3916 106.467 432
bin_650    2.52533 103.18 427
bin_651    4.62204 99.6977 386
bin_652    16.2951 109.985 473
bin_653    9.29531 103.18 431
bin_654    16.7426 102.888 435
bin_655    -1.63158 97.3057 1657
bin_656    2.52583 96.4107 385
bin_657    11.392 99.6977 390
bin_658    -11.6886 99.4019 1672
bin_659    -15.1712 97.3052 1681
bin_660    4.62204 92.9277 340
bin_661    9.29581 96.4107 389
bin_662    18.162 99.6978 394
bin_663    -18.4582 92.6314 1546
bin_664    -21.9413 90.5359 1555
bin_665    16.9363 96.0658 393
bin_666    -25.2283 85.8622 1462
bin_667    -28.7113 83.7659 1465
bin_668    -15.1712 90.5352 1543
bin_669    -8.40156 90.5356 1531
bin_670    11.392 92.9277 344
bin_671    -1.63158 90.5356 1519
bin_672    2.52583 89.6406 339
bin_673    -31.9983 58.7821 1156
bin_674    4.62158 86.1575 314
bin_675    17.3685 89.771 347
bin_676    9.29581 89.6406 343
bin_677    -18.4582 85.8614 1456
bin_678    -21.9413 83.7659 1459
bin_679    -25.2283 79.0922 1384
bin_680    -28.7113 76.9959 1387
bin_681    11.3916 86.1575 316
bin_682    -31.9983 72.3221 1312
bin_683    -15.1712 76.9952 1375
bin_684    -18.4582 72.3214 1300
bin_685    -21.9413 70.2259 1303
bin_686    16.7278 82.8771 317
bin_687    9.29531 82.8705 315
bin_688    -25.2283 65.5521 1228
bin_689    -28.7113 63.4559 1231
bin_690    -15.1712 70.2252 1297
bin_691    -59.0786 52.0118 1102
bin_692    -52.3086 52.0118 1096
bin_693    -45.5386 52.0118 1090
bin_694    16.066 116.72 499
bin_695    18.1623 120.007 500
bin_696    18.1623 113.237 474
bin_697    22.8361 116.72 503
bin_698    24.9323 113.237 478
bin_699    -31.9983 99.4021 1708
bin_700    -38.768 92.6317 1582
bin_701    -42.2516 90.5356 1591
bin_702    -49.0216 83.7655 1483
bin_703    -42.2516 83.7655 1477
bin_704    -38.768 85.8616 1474
bin_705    22.9997 109.952 477
bin_706    -35.481 90.5354 1579
bin_707    18.1615 106.467 436
bin_708    -31.9983 92.6321 1570
bin_709    -28.7113 97.3059 1705
bin_710    -25.2283 99.4021 1696
bin_711    -28.7113 104.076 1831
bin_712    23.0581 103.231 439
bin_713    -35.481 97.3054 1717
bin_714    -38.768 99.4017 1720
bin_715    -35.481 104.075 1843
bin_716    -31.9983 79.0922 1390
bin_717    -35.481 76.9954 1393
bin_718    -38.768 72.3217 1318
bin_719    -45.5386 72.3218 1324
bin_720    -52.3086 72.3218 1330
bin_721    -59.0786 72.3218 1336
bin_722    -42.2516 70.2256 1321
bin_723    22.9752 96.5911 397
bin_724    -1.63158 76.9957 1363
bin_725    24.9321 99.6977 398
bin_726    -45.5386 79.0918 1402
bin_727    -52.3086 79.0918 1408
bin_728    24.932 92.9278 352
bin_729    18.162 92.9278 348
bin_730    -59.0786 79.0918 1414
bin_731    -49.0216 76.9955 1405
bin_732    -55.7916 76.9955 1411
